BANG_TITLE                          Bang!
STATUS_BANDIDOS                     {0} ... Scarta due carte o Risolvi
STATUS_TORNADO                      {0} ... Scarta una carta per pescarne due
STATUS_POKER                        {0} ... Scarta una carta
STATUS_POKER_DRAW                   {0} ... Scegli quali carte pescare
STATUS_SAVED                        {0} ... Scegli se pescare dal mazzo o dalla mano di {1}
STATUS_ADD_CUBE                     Scegli su quale carta mettere un cubetto
STATUS_ADD_CUBE_FOR                 Scegli su quale carta mettere un cubetto, per {0}
STATUS_MOVE_BOMB                    Scegli su cui spostare {0}
STATUS_RUST                         {0} ... Rispondi con Fuga o Risolvi
STATUS_RICOCHET                     {0} su {1} ... Rispondi con Mancato o Risolvi
STATUS_PEYOTE                       {0} ... Dichiara Rosso o Nero
STATUS_HANDCUFFS                    {0} ... Dichiara un seme
STATUS_SHOPCHOICE                   Scegli come giocare {0}
STATUS_KIT_CARLSON                  {0} ... Scegli quali carte pescare
STATUS_CLAUS_THE_SAINT              {0} ... Scegli due carte da pescare e quali da regalare a giro
STATUS_VERA_CUSTER                  {0} ... Scegli quale personaggio copiare
STATUS_YOUL_GRINNER                 Dai una carta a {0}
STATUS_DUTCH_WILL                   {0} ... Scegli quale carta pescare
STATUS_SHOP_CHOOSE_TARGET           Scegli a chi giocare {0}
STATUS_THEDALTONS                   {0} ... Scarta una carta blu
STATUS_CAN_PLAY_CARD                Puoi giocare {0}
STATUS_DAMAGING                     {0} prende un danno per {1}
STATUS_DAMAGING_PLURAL              {0} prende {2} danni per {1}
STATUS_CAN_PLAY_TUMBLEWEED          {0} estrae {3} per {2} ... Puoi giocare {1}
banggame::player_role::sheriff      Sceriffo
banggame::player_role::deputy       Vice
banggame::player_role::outlaw       Fuorilegge
banggame::player_role::renegade     Rinnegato
banggame::card_expansion_type::thebullet            La Pallottola
banggame::card_expansion_type::dodgecity            Dodge City
banggame::card_expansion_type::valleyofshadows      La Valle Delle Ombre
banggame::card_expansion_type::wildwestshow         Wild West Show
banggame::card_expansion_type::goldrush             Corsa all'Oro
banggame::card_expansion_type::armedanddangerous    Armed & Dangerous
banggame::card_expansion_type::highnoon             Mezzogiorno di Fuoco
banggame::card_expansion_type::fistfulofcards       Per un Pugno di Carte
banggame::card_expansion_type::canyondiablo         Canyon Diablo (beta)
banggame::card_expansion_type::ghostcards           Carte Fantasma
lobby_state::waiting                In attesa
lobby_state::playing                In gioco
lobby_state::finished               Partita finita
ERROR_PLAYER_IN_LOBBY               Giocatore già in una lobby
ERROR_PLAYER_NOT_IN_LOBBY           Giocatore non in una lobby
ERROR_PLAYER_NOT_LOBBY_OWNER        Non proprietario della lobby
ERROR_LOBBY_NOT_WAITING             Lobby non in attesa
ERROR_LOBBY_NOT_PLAYING             Lobby non in gioco
ERROR_PLAYER_DOES_NOT_OWN_CARD      Carta non tua
ERROR_CARD_NOT_FOUND                Carta non trovata
ERROR_WRONG_DECLARED_SUIT           Seme dichiarato diverso
ERROR_INVALID_ACTION                Azione non valida
ERROR_NOT_ENOUGH_GOLD               Non hai abbastanza pepite
ERROR_NOT_ENOUGH_CUBES              Non ci sono abbastanza cubetti
ERROR_NOT_ENOUGH_CUBES_ON           Non ci sono abbastanza cubetti su {}
ERROR_CARD_HAS_FULL_CUBES           {} ha già 4 cubetti
ERROR_INVALID_TARGETS               Target non validi
ERROR_PLAYER_MUST_DRAW              Devi pescare
ERROR_PLAYER_MUST_NOT_DRAW          Non devi pescare adesso
ERROR_CANT_DISCARD_OWN_BLACK        Non puoi scartare le tue carte nere
ERROR_CHARACTERS_ARE_DISABLED       I personaggi sono disabilitati
ERROR_TABLE_CARDS_ARE_DISABLED      Le carte in gioco sono disabilitate
ERROR_CARD_INACTIVE                 Carta non attiva in questo turno
ERROR_CANT_EQUIP_CARDS              Non si possono equipaggiare carte
ERROR_DUPLICATED_CARD               Carta duplicata: {}
ERROR_TARGET_NOT_PLAYER             Il target non è un giocatore
ERROR_TARGET_NOT_DEAD               Il target non è morto
ERROR_TARGET_SHERIFF                Non puoi giocare questa carta sullo sceriffo
ERROR_TARGET_NOT_SELF               Puoi giocare questa carta solo su tè stesso
ERROR_TARGET_SELF                   Non puoi giocare questa carta su tè stesso
ERROR_TARGET_NOT_IN_RANGE           Target fuori raggio
ERROR_TARGET_NOT_NEW                Target ripetuto
ERROR_TARGET_NOT_CARD               Il target non è una carta
ERROR_TARGET_BLACK_CARD             Non puoi bersagliare le carte nere
ERROR_TARGET_NOT_TABLE_CARD         Puoi giocare questa carta solo sulle carte sul tavolo
ERROR_TARGET_NOT_HAND_CARD          Puoi giocare questa carta solo sulle carte in mano
ERROR_TARGET_NOT_BLUE_CARD          Puoi giocare questa carta solo sulle carte blu
ERROR_TARGET_NOT_CLUBS              Puoi giocare questa carta solo sulle carte di picche
ERROR_TARGET_NOT_BANG               Puoi giocare questa carta solo sulle carte Bang!
ERROR_TARGET_NOT_MISSED             Puoi giocare questa carta solo sulle carte Mancato!
ERROR_TARGET_NOT_BEER               Puoi giocare questa carta solo sulle carte Birra
ERROR_TARGET_NOT_BRONCO             Puoi giocare questa carta solo su Bronco
ERROR_TARGET_NOT_CUBE_SLOT          Questa carta non può contenere cubetti
ERROR_SCENARIO_AT_PLAY              {} è in gioco
ERROR_CANT_PLAY_CARD                Non puoi giocare {}
ERROR_ONE_BANG_PER_TURN             Puoi giocare un solo Bang per turno
ERROR_CANT_SELF_DAMAGE              Non puoi toglierti l'ultimo punto vita
ERROR_CANT_HEAL_PAST_FULL_HP        Non puoi curarti oltre l'ultimo punto vita
ERROR_NOT_START_OF_TURN             Non sei a inizio turno
ERROR_DISCARD_PILE_EMPTY            La pila degli scarti è vuota
ERROR_MAX_USAGES                    Nuon puoi giocare {0} più di {1} volte per turno
LOG_GAME_START                      La partita è iniziata
LOG_GAME_OVER                       La partita è terminata
LOG_DECK_RESHUFFLED                 Il mazzo viene rimescolato
LOG_TURN_START                      È il turno di {0}
LOG_SOLD_BEER                       {0} vende {1}
LOG_DISCARDED_CARD                  {0} scarta {2} a {1}
LOG_DISCARDED_SELF_CARD             {0} scarta {1}
LOG_STOLEN_CARD                     {0} ruba {2} da {1}
LOG_STOLEN_SELF_CARD                {0} ripesca {1}
LOG_DRAWN_WITH_CHARACTER            {1} pesca usando {0}
LOG_DRAWN_FROM_GENERALSTORE         {0} pesca {1} per {2}
LOG_PLAYED_CHARACTER                {1} gioca l'effetto di {0}
LOG_PLAYED_CARD                     {1} gioca {0}
LOG_PLAYED_CARD_ON                  {1} gioca {0} su {2}
LOG_PLAYED_TABLE_CARD               {1} gioca {0} da terra
LOG_EQUIPPED_CARD                   {1} equipaggia {0}
LOG_EQUIPPED_CARD_TO                {1} equipaggia {0} a {2}
LOG_BOUGHT_CARD                     {1} compra e gioca {0}
LOG_BOUGHT_EQUIP                    {1} compra ed equipaggia {0}
LOG_BOUGHT_EQUIP_TO                 {1} compra ed equipaggia {0} a {2}
LOG_RESPONDED_WITH_CARD             {1} risponde con {0}
LOG_DRAWN_FROM_DECK                 {0} pesca dal mazzo
LOG_DRAWN_CARD                      {0} pesca {1}
LOG_DRAWN_FROM_DISCARD              {0} pesca {1} dalla cima degli scarti
LOG_CHECK_DREW_CARD                 {1} estrae {2} per {0}
LOG_TAKEN_DAMAGE                    {1} prende 1 danno per {0}
LOG_TAKEN_DAMAGE_PLURAL             {1} prende {2} danni per {0}
LOG_HEALED                          {0} si cura di 1 punto vita
LOG_HEALED_PLURAL                   {0} si cura di {1} punti vita
LOG_CHOSE_CARD_FOR                  {1} sceglie {2} per {0}
LOG_PLAYER_DIED                     {0} è morto
